csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_description,kind,status,notes,transform,transform_args,source_fields,source,
ELMTYPE,,,,INT_1D,summary/elms/type,Flag describing type of ELMs.,"ELMs type (I, II, III, ...)",dynamic,mapped_caveat,"The two mixed categories collapse onto the index of their dominant component, Type I; TYPE-RF (ICRH-induced ELMs on JET) has no counterpart in the DD's open enumeration and is declared in the sidecar so those 33 slices leave the node empty.",dictionary,"{""NONE"": 0, ""TYPE-I"": 1, ""TYPE-II"": 2, ""TYPE-III"": 3, ""TYPE-V"": 5, ""TYPE-1+2"": 1, ""TYPE-1+5"": 1}",,,summary/elms/type
CONFIG,,,,INT_1D,summary/boundary/type,Plasma configuration.,"0 (limiter), 1 (diverted), 11 (LSN), 12 (USN), 13 (DN), 14 (snowflake)",dynamic,mapped_caveat,"The four limiter sub-types (LIM, IW, BOT, TOP) collapse onto the single DD limiter index 0, and MAR (marginally diverted/limited) is resolved to diverted.",dictionary,"{""LIM"": 0, ""IW"": 0, ""BOT"": 0, ""TOP"": 0, ""SN"": 1, ""SN(L)"": 11, ""SN(U)"": 12, ""DN"": 13, ""DND"": 13, ""MAR"": 1}",,,summary/boundary/type
BEPDIA,1,1,,FLT_1D,summary/global_quantities/beta_pol,Poloidal diamagnetic beta.,Poloidal beta. Defined as betap = 4 int(p dV) / [R_0 * mu_0 * Ip^2],dynamic,mapped_caveat,"beta_pol is the only non-MHD poloidal beta in summary, but its DD definition is equilibrium-pressure based rather than diamagnetic.",identity,,,,summary/global_quantities/beta_pol
ENBI,eV,eV,,FLT_1D,summary/heating_current_drive/nbi(0)/energy,"Neutral beam energy weighted by power. [formula in source, not extractable]",Full energy of the injected species (acceleration of a single atom),dynamic,mapped_caveat,"ENBI is the power-weighted mean beam energy over all sources, while nbi(0)/energy is the energy of injector 0 alone.",identity,,,,summary/heating_current_drive/nbi/energy
PNBI,W,W,,FLT_1D,summary/heating_current_drive/power_nbi,Total injected neutral beam power minus shine-through. Elementary variable. PNBI = 0 if no beams are on.,Total NBI power coupled to the plasma,dynamic,mapped_caveat,"PNBI subtracts shine-through only, whereas the DD node is the power actually coupled to the plasma, which also excludes the orbit and charge-exchange losses in PFLOSS.",identity,,,,summary/heating_current_drive/power_nbi
ECHMODE,,,,INT_1D,summary/heating_current_drive/ec(0)/polarization,Mode of ECRH waves.,"Polarization of the ECRH waves (0 = O mode, 1 = X mode)",dynamic,mapped_caveat,'X+O' (both modes at once) cannot be expressed as a single polarization index; it and the three no-ECRH labels are declared in the sidecar so those slices leave the node empty.,dictionary,"{""O"": 0, ""X"": 1}",,,summary/heating_current_drive/ec/polarization
PECRH,W,W,,FLT_1D,summary/heating_current_drive/power_ec,ECRH power absorbed by the plasma.,Total EC power coupled to the plasma,dynamic,mapped_caveat,"power_ec is the total EC power coupled to the plasma, whereas PECRH is the absorbed power, which is the smaller of the two.",identity,,,,summary/heating_current_drive/power_ec
ICANTEN,rad,rad,,FLT_1D,summary/heating_current_drive/ic(0)/phase,ICRH antenna phasing.,Phase between straps,dynamic,mapped_caveat,Antenna phasing is a category in the source and a strap phase in radians in the DD; the three no-ICRH labels have no numeric equivalent and are declared in the sidecar so those slices leave the node empty.,dictionary,"{""MONOPOLE"": 0, ""DIPOLE"": 3.14159}",,,summary/heating_current_drive/ic/phase
PICRH,W,W,,FLT_1D,summary/heating_current_drive/power_ic,ICRH power absorbed by the plasma.,Total IC power coupled to the plasma,dynamic,mapped_caveat,"power_ic is the total IC power coupled to the plasma, whereas PICRH is the absorbed power, which is the smaller of the two.",identity,,,,summary/heating_current_drive/power_ic
DWMHD,W,W,,FLT_1D,summary/global_quantities/denergy_thermal_dt,Time rate of change of the total plasma stored energy. Obtained from MHD measurements.,Time derivative of the thermal plasma energy content,dynamic,mapped_caveat,"WMHD is the total stored energy including the fast-ion contribution, while the DD node is the derivative of the thermal energy alone.",identity,,,MHD equilibrium fit,summary/global_quantities/denergy_thermal_dt
WFICRH,J,J,,FLT_1D,summary/heating_current_drive/ic(0)/energy_fast,"Estimate of the perpendicular fast ion energy content during ICRH heating. [formula in source, not extractable]",Fast particle energy content driven by IC waves,dynamic,mapped_caveat,"The DD node is the total IC-driven fast-ion energy, while WFICRH is its perpendicular component only.",identity,,,,summary/heating_current_drive/ic/energy_fast
WTOT,J,J,,FLT_1D,summary/global_quantities/energy_total,Estimated total plasma energy content.,Plasma energy content = 3/2 * integral over the plasma volume of the total kinetic pressure,dynamic,mapped_caveat,"WTOT is a per-machine best estimate assembled from different stored-energy measurements, while the DD node is defined as the volume integral of the total pressure.",identity,,,,summary/global_quantities/energy_total
VTOR0,m.s^-1,,,FLT_1D,summary/local/magnetic_axis/velocity_phi/deuterium,Central rotation velocity of plasma.,Deuterium (D),dynamic,mapped_caveat,"The DD splits the central toroidal velocity by species and the source does not name one, so deuterium is used as the database's dominant working gas.",identity,,,,summary/local/magnetic_axis/velocity_phi/deuterium
TOK,,,,STR_0D,summary/machine,Short name of the tokamak that supplied the data.,Name of the experimental device to which this data is related (if relevant),constant,mapped,,identity,,,,summary/machine
LCUPDATE,,,,STR_0D,summary/ids_properties/creation_date,Date of the most recent update for any variable listed in the database.,Date at which this data has been produced,constant,mapped,Formula converts the YYYYMMDD integer to the ISO 8601 form the IDS requires.,formula,"datetime.strptime(str(int(LCUPDATE)), '%Y%m%d').strftime('%Y-%m-%dT00:00:00Z')",,,summary/ids_properties/creation_date
DATE,,,,STR_0D,summary/pulse_time_begin,Date where the shot was taken.,"Date and time (UTC) at which the pulse started on the experiment (if relevant), expressed in a human readable form (ISO 8601) : the format of the string shall be : YYYY-MM-DDTHH:MM:SSZ. Example : 2020-07-24T14:19:00Z",constant,mapped,As LCUPDATE. All values in this database are 8-digit YYYYMMDD; no 6-digit branch is needed.,formula,"datetime.strptime(str(int(DATE)), '%Y%m%d').strftime('%Y-%m-%dT00:00:00Z')",,,summary/pulse_time_begin
SHOT,,,,INT_0D,summary/pulse,Discharge number (shot) from which the data were taken.,Pulse number to which this data is related (if relevant),constant,mapped,,identity,,,,summary/pulse
TIME,s,s,,FLT_1D,summary/time(0),Time during the shot at which the data were taken.,Generic time,dynamic,mapped,,identity,,,,summary/time
T1,s,s,,FLT_1D,summary/time_width(0),Start of main time average window.,"In case the time-dependent quantities of this IDS are averaged over a time interval, this node is the width of this time interval (empty otherwise). By convention, the time interval starts at time-time_width and ends at time.",dynamic,mapped,"summary/time_width holds the width of the averaging window, so the two endpoint columns T1 and T2 combine into one row.",formula,T2-T1,,,summary/time_width
ELMFREQ,Hz,Hz,,FLT_1D,summary/elms/frequency,ELM frequency.,ELMs frequency,dynamic,mapped,,identity,,,,summary/elms/frequency
MEFF,u,u,,FLT_1D,summary/volume_average/meff_hydrogenic,"Effective atomic mass. [formula in source, not extractable]",Effective mass of the hydrogenic species (MH. nH+MD.nD+MT.nT)/(nH+nD+nT)  ,dynamic,mapped,"The DD node is explicitly hydrogenic, whereas PGASA and MEFF here also encode He3, He4 and nitrogen working gases.",identity,,,,summary/volume_average/meff_hydrogenic
PGASZ,1,1,,FLT_1D,summary/volume_average/zeff,Charge number of the plasma working gas.,Effective charge,dynamic,mapped,"Charge number of the working gas, used as the effective charge in the absence of an impurity measurement; ZEFF carries the measured line-averaged value.",identity,,,,summary/volume_average/zeff
BGASA,u,u,,FLT_0D,summary/heating_current_drive/nbi(0)/species/a,Mass of the neutral beam gas.,Mass of atom,constant,mapped,"0 means no beam, not a mass number of zero, and is declared as a sentinel. Five JET pulses still change beam species mid-pulse, which a per-unit constant node cannot hold; the first species seen is kept.",identity,,,,summary/heating_current_drive/nbi/species/a
BGASZ,e,e,,FLT_0D,summary/heating_current_drive/nbi(0)/species/z_n,Charge number of the neutral beam gas.,Nuclear charge,constant,mapped,0 means no beam; see BGASA.,identity,,,,summary/heating_current_drive/nbi/species/z_n
BGASA2,u,u,,FLT_0D,summary/heating_current_drive/nbi(1)/species/a,Mass of the second neutral beam gas.,Mass of atom,constant,mapped,0 means no second beam; see BGASA.,identity,,,,summary/heating_current_drive/nbi/species/a
BGASZ2,e,e,,FLT_0D,summary/heating_current_drive/nbi(1)/species/z_n,Charge number of the second neutral beam gas.,Nuclear charge,constant,mapped,0 means no second beam; see BGASA.,identity,,,,summary/heating_current_drive/nbi/species/z_n
FUELRATE,e.s^-1,,,FLT_1D,summary/gas_injection_rates/total,Fueling rate of extra gas.,Total gas injection rate (sum over species),dynamic,mapped,,identity,,,,summary/gas_injection_rates/total
RGEO,m,m,,FLT_1D,summary/boundary/geometric_axis_r,"Plasma geometrical major radius. Obtained from an MHD equilibrium fit, defined as the average of the minimum and the maximum radial extent of the plasma.",R position of the geometric axis (defined as (Rmax+Rmin) / 2 of the boundary),dynamic,mapped,,identity,,,MHD equilibrium fit,summary/boundary/geometric_axis_r
RMAG,m,m,,FLT_1D,summary/boundary/magnetic_axis_r,Major radius of the magnetic axis. Obtained from an MHD equilibrium fit.,R position of the magnetic axis,dynamic,mapped,,identity,,,MHD equilibrium fit,summary/boundary/magnetic_axis_r
AMIN,m,m,,FLT_1D,summary/boundary/minor_radius,Horizontal plasma minor radius. Obtained from an MHD equilibrium fit.,Minor radius of the plasma boundary (defined as (Rmax-Rmin) / 2 of the boundary),dynamic,mapped,,identity,,,MHD equilibrium fit,summary/boundary/minor_radius
KAPPA,1,1,,FLT_1D,summary/boundary/elongation,Plasma elongation. Obtained from an MHD equilibrium fit.,Elongation of the plasma boundary,dynamic,mapped,"KAPPA = 1 on 1661 rows is physical, not a fill: TEXTOR, PDX, TUMAN3M, T10 and part of ASDEX/TFTR are circular.",identity,,,MHD equilibrium fit,summary/boundary/elongation
DELTAU,1,1,,FLT_1D,summary/boundary/triangularity_upper,Upper triangularity of the plasma boundary. Obtained from an MHD equilibrium fit.,Upper triangularity of the plasma boundary,dynamic,mapped,,identity,,,MHD equilibrium fit,summary/boundary/triangularity_upper
DELTAL,1,1,,FLT_1D,summary/boundary/triangularity_lower,Lower triangularity of the plasma boundary. Obtained from an MHD equilibrium fit.,Lower triangularity of the plasma boundary,dynamic,mapped,,identity,,,MHD equilibrium fit,summary/boundary/triangularity_lower
